match_id,game_week,date,period,home_club_id,away_club_id,home_team,away_team,home_score,away_score,result
mpp_championship_match_2608241,1,2026-06-11T19:00:00.000Z,fullTime,mpp_championship_club_659,mpp_championship_club_522,Mexique,Afrique du Sud,2,0,H
mpp_championship_match_2608242,1,2026-06-12T02:00:00.000Z,fullTime,mpp_championship_club_1041,mpp_championship_club_367,Corée du Sud,Tchéquie,2,1,H
mpp_championship_match_2608243,1,2026-06-12T19:00:00.000Z,fullTime,mpp_championship_club_597,mpp_championship_club_537,Canada,Bosnie,1,1,D
mpp_championship_match_2608247,1,2026-06-13T01:00:00.000Z,fullTime,mpp_championship_club_596,mpp_championship_club_835,États-Unis,Paraguay,4,1,H
mpp_championship_match_2608244,1,2026-06-13T19:00:00.000Z,fullTime,mpp_championship_club_1873,mpp_championship_club_497,Qatar,Suisse,1,1,D
mpp_championship_match_2608245,1,2026-06-13T22:00:00.000Z,fullTime,mpp_championship_club_614,mpp_championship_club_1057,Brésil,Maroc,1,1,D
mpp_championship_match_2608246,1,2026-06-14T01:00:00.000Z,fullTime,mpp_championship_club_1327,mpp_championship_club_115,Haïti,Écosse,0,1,A
mpp_championship_match_2608248,1,2026-06-14T04:00:00.000Z,fullTime,mpp_championship_club_575,mpp_championship_club_362,Australie,Turquie,2,0,H
mpp_championship_match_2608249,1,2026-06-14T17:00:00.000Z,fullTime,mpp_championship_club_357,mpp_championship_club_6512,Allemagne,Curaçao,7,1,H
mpp_championship_match_2608251,1,2026-06-14T20:00:00.000Z,fullTime,mpp_championship_club_366,mpp_championship_club_1266,Pays-Bas,Japon,2,2,D
mpp_championship_match_2608250,1,2026-06-14T23:00:00.000Z,fullTime,mpp_championship_club_1221,mpp_championship_club_830,Côte d’Ivoire,Équateur,1,0,H
mpp_championship_match_2608252,1,2026-06-15T02:00:00.000Z,fullTime,mpp_championship_club_361,mpp_championship_club_1224,Suède,Tunisie,5,1,H
mpp_championship_match_2608255,1,2026-06-15T16:00:00.000Z,fullTime,mpp_championship_club_118,mpp_championship_club_1529,Espagne,Cap-Vert,0,0,D
mpp_championship_match_2608253,1,2026-06-15T19:00:00.000Z,fullTime,mpp_championship_club_360,mpp_championship_club_1225,Belgique,Égypte,1,1,D
mpp_championship_match_2608256,1,2026-06-15T22:00:00.000Z,fullTime,mpp_championship_club_1264,mpp_championship_club_837,Arabie saoudite,Uruguay,1,1,D
mpp_championship_match_2608254,1,2026-06-16T01:00:00.000Z,fullTime,mpp_championship_club_1042,mpp_championship_club_1804,Iran,Nouvelle-Zélande,2,2,D
mpp_championship_match_2608257,1,2026-06-16T19:00:00.000Z,fullTime,mpp_championship_club_368,mpp_championship_club_1226,France,Sénégal,3,1,H
mpp_championship_match_2608258,1,2026-06-16T22:00:00.000Z,fullTime,mpp_championship_club_1800,mpp_championship_club_363,Irak,Norvège,1,4,A
mpp_championship_match_2608259,1,2026-06-17T01:00:00.000Z,fullTime,mpp_championship_club_632,mpp_championship_club_1215,Argentine,Algérie,3,0,H
mpp_championship_match_2608260,1,2026-06-17T04:00:00.000Z,fullTime,mpp_championship_club_515,mpp_championship_club_1843,Autriche,Jordanie,3,1,H
mpp_championship_match_2608261,1,2026-06-17T17:00:00.000Z,fullTime,mpp_championship_club_359,mpp_championship_club_1222,Portugal,RD Congo,1,1,D
mpp_championship_match_2608263,1,2026-06-17T20:00:00.000Z,fullTime,mpp_championship_club_114,mpp_championship_club_535,Angleterre,Croatie,4,2,H
mpp_championship_match_2608264,1,2026-06-17T23:00:00.000Z,fullTime,mpp_championship_club_1219,mpp_championship_club_1869,Ghana,Panama,1,0,H
mpp_championship_match_2608262,1,2026-06-18T02:00:00.000Z,fullTime,mpp_championship_club_1359,mpp_championship_club_832,Ouzbékistan,Colombie,1,3,A
mpp_championship_match_2608266,2,2026-06-18T16:00:00.000Z,fullTime,mpp_championship_club_367,mpp_championship_club_522,Tchéquie,Afrique du Sud,1,1,D
mpp_championship_match_2608268,2,2026-06-18T19:00:00.000Z,fullTime,mpp_championship_club_497,mpp_championship_club_537,Suisse,Bosnie,4,1,H
mpp_championship_match_2608267,2,2026-06-18T22:00:00.000Z,fullTime,mpp_championship_club_597,mpp_championship_club_1873,Canada,Qatar,6,0,H
mpp_championship_match_2608265,2,2026-06-19T01:00:00.000Z,fullTime,mpp_championship_club_659,mpp_championship_club_1041,Mexique,Corée du Sud,1,0,H
mpp_championship_match_2608271,2,2026-06-19T19:00:00.000Z,fullTime,mpp_championship_club_596,mpp_championship_club_575,États-Unis,Australie,2,0,H
mpp_championship_match_2608270,2,2026-06-19T22:00:00.000Z,fullTime,mpp_championship_club_115,mpp_championship_club_1057,Écosse,Maroc,0,1,A
mpp_championship_match_2608269,2,2026-06-20T00:30:00.000Z,fullTime,mpp_championship_club_614,mpp_championship_club_1327,Brésil,Haïti,3,0,H
mpp_championship_match_2608272,2,2026-06-20T03:00:00.000Z,fullTime,mpp_championship_club_362,mpp_championship_club_835,Turquie,Paraguay,0,1,A
mpp_championship_match_2608275,2,2026-06-20T17:00:00.000Z,fullTime,mpp_championship_club_366,mpp_championship_club_361,Pays-Bas,Suède,5,1,H
mpp_championship_match_2608273,2,2026-06-20T20:00:00.000Z,fullTime,mpp_championship_club_357,mpp_championship_club_1221,Allemagne,Côte d’Ivoire,2,1,H
mpp_championship_match_2608274,2,2026-06-21T00:00:00.000Z,fullTime,mpp_championship_club_830,mpp_championship_club_6512,Équateur,Curaçao,0,0,D
